work_shift,type,refinery,origin_departure_date,origin_net_weight,destination_arrival_date,destination_net_weight,raw_row_number,missing_weight_flag,weight_difference,weight_difference_sign,duplicate_group_size,duplicate_flag,origin_calendar_year,origin_calendar_month,origin_calendar_day,destination_calendar_year,destination_calendar_month,destination_calendar_day,date_format_flag,date_label_order_flag
Night shift,VB,Shiraz,1399/01/25,24410,1399/01/26,24310,80,FALSE,-100,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/25,24520,1399/01/26,24450,81,FALSE,-70,negative_raw_difference,2,TRUE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/25,25150,1399/01/26,25200,82,FALSE,50,positive_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/25,25270,1399/01/26,25290,83,FALSE,20,positive_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/26,23140,1399/01/26,23170,84,FALSE,30,positive_raw_difference,1,FALSE,1399,1,26,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/26,24250,1399/01/26,24220,85,FALSE,-30,negative_raw_difference,1,FALSE,1399,1,26,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/26,24550,1399/01/26,24530,86,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,26,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/26,24720,1399/01/27,24700,87,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,26,1399,1,27,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/26,22470,1399/01/27,22470,88,FALSE,0,zero_raw_difference,1,FALSE,1399,1,26,1399,1,27,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/26,24800,1399/01/27,24870,89,FALSE,70,positive_raw_difference,1,FALSE,1399,1,26,1399,1,27,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
