raw_row_number,Origin Departure Date,Destination Arrival Date,origin_format_matches_yyyy_mm_dd,destination_format_matches_yyyy_mm_dd,origin_components_within_broad_ranges,destination_components_within_broad_ranges,destination_label_after_or_equal_origin
187,1399/03/09,1399/03/10,TRUE,TRUE,TRUE,TRUE,TRUE
188,1399/03/08,1399/03/10,TRUE,TRUE,TRUE,TRUE,TRUE
189,1399/03/09,1399/03/10,TRUE,TRUE,TRUE,TRUE,TRUE
190,1399/03/09,1399/03/10,TRUE,TRUE,TRUE,TRUE,TRUE
191,1399/03/09,1399/03/10,TRUE,TRUE,TRUE,TRUE,TRUE
192,1399/03/08,1399/03/11,TRUE,TRUE,TRUE,TRUE,TRUE
193,1399/03/09,1399/03/11,TRUE,TRUE,TRUE,TRUE,TRUE
194,1399/03/09,1399/03/10,TRUE,TRUE,TRUE,TRUE,TRUE
195,1399/03/08,1399/03/11,TRUE,TRUE,TRUE,TRUE,TRUE
196,1399/03/10,1399/03/11,TRUE,TRUE,TRUE,TRUE,TRUE
197,1399/03/10,1399/03/11,TRUE,TRUE,TRUE,TRUE,TRUE
198,1399/03/09,1399/03/11,TRUE,TRUE,TRUE,TRUE,TRUE
199,1399/03/09,1399/03/11,TRUE,TRUE,TRUE,TRUE,TRUE
200,1399/03/10,1399/03/11,TRUE,TRUE,TRUE,TRUE,TRUE
201,1399/03/10,1399/03/12,TRUE,TRUE,TRUE,TRUE,TRUE
202,1399/03/10,1399/03/12,TRUE,TRUE,TRUE,TRUE,TRUE
203,1399/03/10,1399/03/12,TRUE,TRUE,TRUE,TRUE,TRUE
204,1399/03/10,1399/03/12,TRUE,TRUE,TRUE,TRUE,TRUE
205,1399/03/12,1399/03/12,TRUE,TRUE,TRUE,TRUE,TRUE
206,1399/03/09,1399/03/12,TRUE,TRUE,TRUE,TRUE,TRUE
207,1399/03/11,1399/03/13,TRUE,TRUE,TRUE,TRUE,TRUE
208,1399/03/11,1399/03/13,TRUE,TRUE,TRUE,TRUE,TRUE
209,1399/03/11,1399/03/13,TRUE,TRUE,TRUE,TRUE,TRUE
210,1399/03/13,1399/03/13,TRUE,TRUE,TRUE,TRUE,TRUE
211,1399/03/13,1399/03/14,TRUE,TRUE,TRUE,TRUE,TRUE
212,1399/03/13,1399/03/14,TRUE,TRUE,TRUE,TRUE,TRUE
213,1399/03/13,1399/03/13,TRUE,TRUE,TRUE,TRUE,TRUE
214,1399/03/13,1399/03/14,TRUE,TRUE,TRUE,TRUE,TRUE
215,1399/03/13,1399/03/14,TRUE,TRUE,TRUE,TRUE,TRUE
216,1399/03/12,1399/03/14,TRUE,TRUE,TRUE,TRUE,TRUE
217,1399/03/12,1399/03/14,TRUE,TRUE,TRUE,TRUE,TRUE
218,1399/03/13,1399/03/14,TRUE,TRUE,TRUE,TRUE,TRUE
219,1399/03/13,1399/03/14,TRUE,TRUE,TRUE,TRUE,TRUE
220,1399/03/13,1399/03/14,TRUE,TRUE,TRUE,TRUE,TRUE
221,1399/03/14,1399/03/14,TRUE,TRUE,TRUE,TRUE,TRUE
222,1399/03/14,1399/03/15,TRUE,TRUE,TRUE,TRUE,TRUE
223,1399/03/14,1399/03/15,TRUE,TRUE,TRUE,TRUE,TRUE
224,1399/03/14,1399/03/15,TRUE,TRUE,TRUE,TRUE,TRUE
225,1399/03/14,1399/03/15,TRUE,TRUE,TRUE,TRUE,TRUE
226,1399/03/14,1399/03/15,TRUE,TRUE,TRUE,TRUE,TRUE
227,1399/03/14,1399/03/15,TRUE,TRUE,TRUE,TRUE,TRUE
228,1399/03/13,1399/03/15,TRUE,TRUE,TRUE,TRUE,TRUE
229,1399/03/13,1399/03/16,TRUE,TRUE,TRUE,TRUE,TRUE
230,1399/03/14,1399/03/16,TRUE,TRUE,TRUE,TRUE,TRUE
231,1399/03/14,1399/03/16,TRUE,TRUE,TRUE,TRUE,TRUE
232,1399/03/14,1399/03/16,TRUE,TRUE,TRUE,TRUE,TRUE
233,1399/03/15,1399/03/16,TRUE,TRUE,TRUE,TRUE,TRUE
234,1399/03/14,1399/03/16,TRUE,TRUE,TRUE,TRUE,TRUE
235,1399/03/14,1399/03/16,TRUE,TRUE,TRUE,TRUE,TRUE
236,1399/03/15,1399/03/16,TRUE,TRUE,TRUE,TRUE,TRUE
237,1399/03/15,1399/03/17,TRUE,TRUE,TRUE,TRUE,TRUE
