raw_row_number,Refinery,Type,Work shift,Origin Departure Date,Destination Arrival Date,Origin Net Weight,Destination Net Weight,origin_weight_numeric,destination_weight_numeric,destination_minus_origin,absolute_weight_difference,is_largest_absolute_difference,is_smallest_absolute_difference
190,Tehran,VB,Night shift,1399/03/09,1399/03/10,28770,28720,28770,28720,-50,50,FALSE,FALSE
191,Tehran,VB,Night shift,1399/03/09,1399/03/10,26140,26070,26140,26070,-70,70,FALSE,FALSE
192,Tehran,VB,Night shift,1399/03/08,1399/03/11,24250,24160,24250,24160,-90,90,FALSE,FALSE
193,Tehran,VB,Night shift,1399/03/09,1399/03/11,23730,23690,23730,23690,-40,40,FALSE,FALSE
194,Tehran,VB,Night shift,1399/03/09,1399/03/10,24300,24300,24300,24300,0,0,FALSE,TRUE
195,Tehran,VB,Night shift,1399/03/08,1399/03/11,26040,26000,26040,26000,-40,40,FALSE,FALSE
196,Tehran,Iso-Recycle,Evening shift,1399/03/10,1399/03/11,25730,25730,25730,25730,0,0,FALSE,TRUE
197,Tehran,VB,Evening shift,1399/03/10,1399/03/11,23900,23840,23900,23840,-60,60,FALSE,FALSE
198,Tehran,VB,Evening shift,1399/03/09,1399/03/11,24410,24340,24410,24340,-70,70,FALSE,FALSE
199,Tehran,VB,Evening shift,1399/03/09,1399/03/11,24150,24090,24150,24090,-60,60,FALSE,FALSE
200,Tehran,Iso-Recycle,Evening shift,1399/03/10,1399/03/11,26510,26480,26510,26480,-30,30,FALSE,FALSE
201,Tehran,VB,Day shift,1399/03/10,1399/03/12,24600,24610,24600,24610,10,10,FALSE,FALSE
202,Tehran,VB,Day shift,1399/03/10,1399/03/12,24680,24670,24680,24670,-10,10,FALSE,FALSE
203,Tehran,Iso-Recycle,Evening shift,1399/03/10,1399/03/12,25550,25480,25550,25480,-70,70,FALSE,FALSE
204,Tehran,VB,Evening shift,1399/03/10,1399/03/12,23710,23640,23710,23640,-70,70,FALSE,FALSE
205,Pars Petrochemical,C5+,Night shift,1399/03/12,1399/03/12,22570,22610,22570,22610,40,40,FALSE,FALSE
206,Tehran,VB,Night shift,1399/03/09,1399/03/12,22580,22520,22580,22520,-60,60,FALSE,FALSE
207,Tehran,VB,Night shift,1399/03/11,1399/03/13,25030,25030,25030,25030,0,0,FALSE,TRUE
208,Tehran,Iso-Recycle,Night shift,1399/03/11,1399/03/13,26640,26620,26640,26620,-20,20,FALSE,FALSE
209,Tehran,VB,Evening shift,1399/03/11,1399/03/13,25120,25020,25120,25020,-100,100,FALSE,FALSE
210,Pars Petrochemical,C5+,Night shift,1399/03/13,1399/03/13,22460,22420,22460,22420,-40,40,FALSE,FALSE
211,South Pars,Condensate,Night shift,1399/03/13,1399/03/14,22734,22980,22734,22980,246,246,FALSE,FALSE
212,South Pars,Condensate,Night shift,1399/03/13,1399/03/14,23010,22620,23010,22620,-390,390,FALSE,FALSE
213,Pars Petrochemical,C5+,Night shift,1399/03/13,1399/03/13,21620,21660,21620,21660,40,40,FALSE,FALSE
214,Pars Petrochemical,C5+,Day shift,1399/03/13,1399/03/14,22560,22430,22560,22430,-130,130,FALSE,FALSE
215,South Pars,Condensate,Day shift,1399/03/13,1399/03/14,22788,22560,22788,22560,-228,228,FALSE,FALSE
216,Tehran,VB,Day shift,1399/03/12,1399/03/14,23920,23890,23920,23890,-30,30,FALSE,FALSE
217,Tehran,VB,Day shift,1399/03/12,1399/03/14,24210,24200,24210,24200,-10,10,FALSE,FALSE
218,Tehran,VB,Evening shift,1399/03/13,1399/03/14,22840,22780,22840,22780,-60,60,FALSE,FALSE
219,Pars Petrochemical,C5+,Evening shift,1399/03/13,1399/03/14,22720,22640,22720,22640,-80,80,FALSE,FALSE
220,Tehran,VB,Night shift,1399/03/13,1399/03/14,25880,25870,25880,25870,-10,10,FALSE,FALSE
221,Pars Petrochemical,C5+,Night shift,1399/03/14,1399/03/14,22260,22300,22260,22300,40,40,FALSE,FALSE
222,South Pars,Condensate,Night shift,1399/03/14,1399/03/15,22738,22840,22738,22840,102,102,FALSE,FALSE
223,Pars Petrochemical,C5+,Day shift,1399/03/14,1399/03/15,24110,24000,24110,24000,-110,110,FALSE,FALSE
224,Pars Petrochemical,C5+,Evening shift,1399/03/14,1399/03/15,21460,21390,21460,21390,-70,70,FALSE,FALSE
