parent_gem_entity_id,parent,immediate_project_owner_gem_entity_id,immediate_project_owner,ownership_path_records
E100000000013,YPF SA,E100000000013,YPF SA,11
E100000000387,TotalEnergies SE,E100001015713,Société du Pipeline Sud-Européen SA,11
E100000000746,Shell PLC,E100000000746,Shell PLC,11
E100000000746,Shell PLC,E100001015713,Société du Pipeline Sud-Européen SA,11
E100000001096,BP PLC,E100001015713,Société du Pipeline Sud-Européen SA,11
E100000001177,CenterPoint Energy Inc,E100001015522,NuStar Energy LP,11
E100000001213,Exxon Mobil Corp,E100001015713,Société du Pipeline Sud-Européen SA,11
E100000123261,natural person(s),E100001015522,NuStar Energy LP,11
E100000123261,natural person(s),E100001015713,Société du Pipeline Sud-Européen SA,11
E100001000348,BlackRock Inc,E100001015522,NuStar Energy LP,11
E100001000348,BlackRock Inc,E100001015713,Société du Pipeline Sud-Européen SA,11
E100001000615,Guaranty Nominees Ltd,E100001015713,Société du Pipeline Sud-Européen SA,11
E100001000901,The Capital Group Companies Inc,E100001015522,NuStar Energy LP,11
E100001010595,The Vanguard Group Inc,E100001015522,NuStar Energy LP,11
E100001010595,The Vanguard Group Inc,E100001015713,Société du Pipeline Sud-Européen SA,11
E100001010596,State Street Corp,E100001015522,NuStar Energy LP,11
E100001010596,State Street Corp,E100001015713,Société du Pipeline Sud-Européen SA,11
E100001010706,Capital International Investors,E100001015522,NuStar Energy LP,11
E100001010707,Capital Research and Management Co,E100001015522,NuStar Energy LP,11
E100001011247,ConocoPhillips Corp,E100001011247,ConocoPhillips Corp,11
E100001011471,Government of Argentina,E100000000013,YPF SA,11
E100001014294,Energy Transfer LP,E100001015522,NuStar Energy LP,11
E100001014434,T. Rowe Price Investment Management Inc,E100001015522,NuStar Energy LP,11
E100001014543,Capital Research Global Investors,E100001015522,NuStar Energy LP,11
E100001014648,ALPS Advisors Inc,E100001015522,NuStar Energy LP,11
E100001015579,North Atlantic Treaty Organization,E100001015579,North Atlantic Treaty Organization,11
E100001015587,small shareholder(s),E100000000013,YPF SA,11
